grid,code,count
623,01845,1
762,01845,1
620,01845,1
161,01845,1
518,01845,1
462,01848,4
286,01848,1
381,01848,3
437,01845,1
210,01845,1
350,01845,2
633,01845,1
971,01848,2
723,01845,2
158,01845,2
553,01845,2
123,01845,1
705,01845,3
589,01845,1
228,01848,2
798,01845,2
532,01848,1
413,01848,1
101,01845,1
782,01848,1
406,01845,1
610,01848,1
390,01845,1
459,01845,3
402,01848,2
434,01848,1
655,01845,2
417,01848,1
611,01848,1
529,01845,1
847,01845,1
446,01848,1
667,01848,1
628,01845,1
367,01848,2
495,01848,1
582,01848,1
583,01845,1
781,01845,3
379,01845,2
438,01848,9
143,01845,2
679,01845,1
527,01845,2
107,01845,1
438,01845,2
159,01848,1
733,01848,1
389,01848,1
59,01845,2
588,01848,1
560,01845,2
704,01845,2
748,01848,1
533,01848,1
612,01848,1
472,01845,1
319,01845,1
463,01848,1
799,01848,1
174,01845,1
657,01845,4
304,01845,1
894,01848,1
313,01845,1
262,01845,1
538,01848,1
493,01845,1
509,01848,1
83,01845,1
678,01848,2
407,01845,1
253,01845,1
616,01845,8
428,01845,2
425,01848,1
555,01848,1
229,01848,1
616,01848,13
510,01848,1
720,01848,1
563,01845,1
429,01848,2
19,01845,4
646,01848,1
645,01848,2
576,01845,1
631,01845,1
261,01845,4
439,01845,2
643,01845,4
584,01845,4
654,01845,1
536,01848,1
516,01848,1
504,01845,1
469,01848,1
658,01845,1
508,01848,2
486,01845,7
685,01845,1
461,01845,2
564,01845,2
477,01848,2
479,01848,2
447,01845,2
484,01848,1
282,01848,1
687,01848,2
686,01848,1
521,01848,1
506,01845,1
732,01845,3
429,01845,1
580,01845,2
391,01845,1
551,01845,4
209,01845,1
645,01845,1
378,01845,1
404,01848,5
219,01848,1
81,01848,1
505,01848,1
469,01845,2
489,01845,1
314,01845,4
423,01845,1
441,01848,1
526,01845,1
471,01845,3
587,01845,3
768,01845,1
783,01848,1
217,01845,3
96,01845,1
505,01845,4
910,01845,1
779,01845,7
314,01848,1
494,01848,2
531,01845,2
117,01848,1
674,01845,1
356,01845,3
642,01848,2
201,01845,1
597,01845,1
665,01845,1
135,01848,1
560,01848,1
24,01845,1
472,01848,2
501,01848,2
445,01845,1
260,01845,1
670,01848,1
302,01848,1
283,01845,3
514,01845,2
383,01845,2
699,01848,2
404,01845,8
175,01845,1
538,01845,6
502,01848,1
509,01845,2
309,01845,1
513,01845,2
470,01845,5
669,01848,1
678,01845,1
763,01845,1
412,01848,1
617,01845,4
532,01845,2
596,01845,21
103,01848,1
209,01848,1
557,01845,1
662,01848,1
626,01848,2
809,01845,1
808,01848,1
112,01848,1
559,01848,1
524,01848,2
254,01848,1
613,01845,3
819,01848,1
82,01845,1
609,01848,4
558,01845,1
554,01845,1
489,01848,1
106,01845,1
487,01848,1
690,01848,1
526,01848,1
641,01848,2
441,01845,1
251,01845,1
780,01845,18
673,01848,1
608,01848,1
609,01845,5
173,01845,1
644,01848,2
562,01848,1
446,01845,2
666,01845,1
280,01845,1
894,01845,3
484,01845,1
193,01848,1
282,01845,1
414,01845,2
380,01845,1
359,01845,1
424,01848,1
583,01848,2
627,01848,20
142,01845,2
197,01848,2
24,01848,1
445,01848,1
596,01848,8
670,01845,1
183,01848,1
362,01845,2
503,01845,3
326,01845,1
675,01845,1
485,01848,5
550,01848,1
381,01845,4
810,01848,1
350,01848,1
410,01845,1
562,01845,4
113,01848,1
122,01848,2
116,01848,1
822,01845,1
517,01845,1
402,01845,5
768,01848,1
465,01845,2
619,01845,1
158,01848,1
110,01848,1
39,01845,1
192,01845,1
124,01845,3
185,01845,1
508,01845,4
782,01845,10
797,01848,1
167,01848,1
683,01845,1
278,01845,1
467,01848,4
357,01845,2
848,01845,1
494,01845,2
597,01848,1
201,01848,1
721,01848,1
525,01848,1
662,01845,4
704,01848,2
799,01845,1
470,01848,3
863,01845,2
703,01848,1
675,01848,2
503,01848,4
810,01845,2
491,01848,2
618,01845,1
537,01848,3
627,01845,31
895,01845,1
465,01848,1
110,01845,2
679,01848,1
382,01845,1
256,01845,1
754,01845,3
796,01845,1
159,01845,1
614,01848,2
389,01845,1
488,01845,1
552,01845,3
507,01848,2
29,01845,1
588,01845,1
525,01845,2
585,01848,1
95,01848,1
656,01845,2
559,01845,2
439,01848,2
263,01845,1
177,01845,1
507,01845,3
356,01848,1
641,01845,1
552,01848,6
515,01845,9
513,01848,4
432,01845,2
428,01848,2
555,01845,1
137,01845,3
882,01845,2
474,01848,1
451,01848,1
229,01845,1
359,01848,2
649,01848,1
510,01845,1
615,01845,1
720,01845,1
537,01845,2
197,01845,1
281,01845,1
462,01845,1
492,01845,3
553,01848,2
27,01845,1
335,01845,4
613,01848,1
643,01848,1
261,01848,1
123,01848,1
783,01845,7
487,01845,3
478,01845,1
228,01845,6
642,01845,1
589,01848,1
403,01845,1
617,01848,2
729,01848,1
779,01848,1
511,01845,2
626,01845,4
308,01845,3
798,01848,2
620,01848,1
145,01845,1
515,01848,6
161,01848,1
485,01845,3
286,01845,1
166,01845,2
450,01845,7
437,01848,1
632,01845,1
633,01848,1
971,01845,2
425,01845,4
611,01845,1
458,01845,1
628,01848,1
436,01848,2
594,01848,2
483,01845,2
486,01848,1
795,01845,3
440,01848,1
582,01845,1
533,01845,4
130,01845,1
540,01845,1
163,01845,1
548,01845,1
413,01845,1
74,01845,1
629,01845,1
406,01848,1
76,01848,1
198,01845,1
467,01845,2
458,01848,2
644,01845,2
436,01845,1
491,01845,4
440,01845,2
424,01845,1
405,01845,1
122,01845,12
334,01845,2
460,01845,2
587,01848,2
416,01845,1
755,01845,1
638,01845,1
466,01845,1
602,01845,2
285,01848,1
697,01845,1
106,01848,1
237,01845,1
